46,1,6,7,8,38,39,6,7,8,4,4,6,7,8,38,39,6,7,8,37,38,6,7,8,39,40,3,4,49
37,55,15,16,17,11,12,15,16,17,11,12,15,16,17,11,12,15,16,17,11,12,15,16,17,56,56,57,58,37
40,64,24,25,26,20,21,24,25,26,20,21,24,25,26,20,21,24,25,26,20,21,24,25,26,65,65,66,67,37
10,73,33,34,35,73,73,33,34,35,73,73,33,34,35,73,73,33,34,35,73,73,33,34,35,73,73,73,73,37
40,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,153,154,123,123,123,123,123,123,123,10
40,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,153,154,153,154,123,123,123,123,123,123,10
13,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,153,154,153,154,141,141,141,22,23,37
13,123,123,86,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,31,32,37
13,42,43,44,42,43,44,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,141,132,132,18,19,40
13,51,52,53,51,52,53,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,27,28,40
10,60,61,62,60,61,62,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,40
10,69,70,123,42,43,44,132,132,132,132,132,132,132,132,132,132,132,132,83,84,84,85,141,132,132,132,132,132,10
10,78,79,80,51,52,53,123,123,123,123,123,123,123,123,123,123,123,123,92,93,93,94,123,123,123,123,123,123,10
10,87,88,89,60,61,62,132,132,132,132,132,132,132,132,132,132,132,132,92,93,93,94,132,132,132,132,132,132,10
37,123,123,86,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,101,82,93,90,84,85,123,123,123,123,10
37,132,132,132,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,92,93,93,93,94,132,132,132,132,13
37,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,92,93,93,93,94,141,141,141,132,13
37,132,132,132,95,95,95,95,132,132,132,132,132,132,132,132,132,132,132,132,101,102,102,102,103,123,123,123,123,13
37,141,141,141,104,104,104,104,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,141,13
46,37,38,39,40,38,39,47,48,3,4,3,4,1,2,1,2,1,2,3,4,47,48,38,39,37,38,39,40,49
